Stichtag;ID;Kreis;männlich;weiblich;Insgesamt
31.12.2019;01001;Flensburg, kreisfreie Stadt;44904;45260;90164
31.12.2019;01002;Kiel, kreisfreie Stadt;120198;126596;246794
31.12.2019;01003;Lübeck, kreisfreie Stadt;104032;112498;216530
31.12.2019;01004;Neumünster, kreisfreie Stadt;39723;40473;80196
31.12.2019;01051;Dithmarschen, Landkreis;65718;67475;133193
31.12.2019;01053;Herzogtum Lauenburg, Landkreis;97165;100854;198019
31.12.2019;01054;Nordfriesland, Landkreis;81286;84665;165951
31.12.2019;01055;Ostholstein, Landkreis;96689;103850;200539
31.12.2019;01056;Pinneberg, Landkreis;155123;160980;316103
31.12.2019;01057;Plön, Landkreis;62487;66199;128686
31.12.2019;01058;Rendsburg-Eckernförde, Landkreis;134970;139128;274098
31.12.2019;01059;Schleswig-Flensburg, Landkreis;99557;101599;201156
31.12.2019;01060;Segeberg, Landkreis;137054;140121;277175
31.12.2019;01061;Steinburg, Landkreis;64747;66266;131013
31.12.2019;01062;Stormarn, Landkreis;119230;124926;244156
31.12.2019;02000;Hamburg, kreisfreie Stadt;903974;943279;1847253
31.12.2019;03101;Braunschweig, kreisfreie Stadt;123630;125776;249406
31.12.2019;03102;Salzgitter, kreisfreie Stadt;51831;52460;104291
31.12.2019;03103;Wolfsburg, kreisfreie Stadt;61973;62398;124371
31.12.2019;03151;Gifhorn, Landkreis;88295;88228;176523
31.12.2019;03153;Goslar, Landkreis;67599;68693;136292
31.12.2019;03154;Helmstedt, Landkreis;45273;46024;91297
31.12.2019;03155;Northeim, Landkreis;65290;66995;132285
31.12.2019;03157;Peine, Landkreis;66753;68048;134801
31.12.2019;03158;Wolfenbüttel, Landkreis;59212;60410;119622
31.12.2019;03159;Göttingen, Landkreis;160023;166018;326041
31.12.2019;03241;Region Hannover, Landkreis;566626;590489;1157115
31.12.2019;03251;Diepholz, Landkreis;107876;109213;217089
31.12.2019;03252;Hameln-Pyrmont, Landkreis;71880;76669;148549
31.12.2019;03254;Hildesheim, Landkreis;134547;141270;275817
31.12.2019;03255;Holzminden, Landkreis;34911;35547;70458
31.12.2019;03256;Nienburg (Weser), Landkreis;60299;61091;121390
31.12.2019;03257;Schaumburg, Landkreis;77266;80554;157820
31.12.2019;03351;Celle, Landkreis;88101;90910;179011
31.12.2019;03352;Cuxhaven, Landkreis;96867;101171;198038
31.12.2019;03353;Harburg, Landkreis;125373;129058;254431
31.12.2019;03354;Lüchow-Dannenberg, Landkreis;23783;24629;48412
31.12.2019;03355;Lüneburg, Landkreis;89803;94336;184139
31.12.2019;03356;Osterholz, Landkreis;55926;58002;113928
31.12.2019;03357;Rotenburg (Wümme), Landkreis;82317;81465;163782
31.12.2019;03358;Heidekreis;70251;70422;140673
31.12.2019;03359;Stade, Landkreis;101831;102681;204512
31.12.2019;03360;Uelzen, Landkreis;45137;47252;92389
31.12.2019;03361;Verden, Landkreis;67299;69834;137133
